epoch,train_loss,test_loss,train_acc,test_acc
0,4.317332806885879,2.8777138276188468,0.49333333333333335,0.49
1,4.433036768647681,2.786898737822788,0.51,0.495
2,4.198506395751094,2.7686197867342273,0.53,0.555
3,4.133816112004762,2.714530663177827,0.6266666666666667,0.58
4,4.081335533990166,2.680554524986311,0.5766666666666667,0.585
5,3.892597248288779,2.2022629741627364,0.77,0.75
6,2.813725604707043,1.2722766585687595,0.9066666666666666,0.92
7,1.477209171118723,0.860154998293679,0.96,0.955
8,1.5745716154958862,0.396781759137501,0.98,0.985
9,1.0117931770593402,0.8345162077446442,0.9133333333333333,0.925
10,0.984126363556556,0.6514714703090422,0.9733333333333334,0.93
11,0.6569967150419557,0.15808891179607779,0.9866666666666667,0.99
12,0.15291170408068813,0.06285855211804633,1.0,1.0
13,0.26457133520252873,0.03678654986717658,0.99,1.0
14,0.1612345490214853,0.08714457883145364,0.9966666666666667,0.995
15,0.11899981926182815,0.04669501884406252,0.9966666666666667,0.995
16,0.04142668680634783,0.02368593477018953,1.0,1.0
17,0.26326968447418825,1.3407016981332582,0.96,0.93
18,0.7773474890148435,0.36613245487734264,0.9666666666666667,0.985
19,0.41479260544085583,0.02142807833022311,1.0,1.0
20,0.21855631486308397,1.0062053451853634,0.9433333333333334,0.93
21,2.675714249456653,2.1511701938663066,0.7733333333333333,0.835
22,3.056920432507758,1.1530844257470745,0.92,0.885
23,2.0268670970619675,1.4659854213012549,0.9166666666666666,0.88
24,1.8084851499292092,1.0862494133230478,0.9466666666666667,0.905
25,0.630557374584719,0.3720452470968762,0.9933333333333333,0.985
26,0.4459479950001937,0.2407567704045276,0.9933333333333333,0.99
27,0.2761473469350034,0.12363155563568695,1.0,1.0
28,0.15027207855607316,0.08506376719304129,1.0,1.0
29,0.10655700990107676,0.06403393162756368,1.0,1.0
30,0.08011443342976851,0.052533735855657036,1.0,1.0
31,0.06430488621524211,0.04588826635876346,1.0,1.0
32,0.06031341281748502,0.038985061008782615,1.0,1.0
33,0.04802982988095412,0.03449425356830271,1.0,1.0
34,0.043269070675545813,0.031073336400306947,1.0,1.0
35,0.03921215167610338,0.02869178897581131,1.0,1.0
36,0.03636270683252785,0.02628712726505367,1.0,1.0
37,0.0335817813098316,0.02440806832878885,1.0,1.0
38,0.031559522225309306,0.022888767566914752,1.0,1.0
39,0.029869479222684885,0.021540093173353137,1.0,1.0
40,0.027983865752325286,0.020303134371560668,1.0,1.0
41,0.026247979108039478,0.019242296116045218,1.0,1.0
42,0.024909680358200664,0.0182726724340569,1.0,1.0
43,0.023665942680648453,0.01745467069308301,1.0,1.0
44,0.022487692789998456,0.01677238378540683,1.0,1.0
45,0.02154180909008538,0.01584710901100101,1.0,1.0
