anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity,entropy,complexity
0.0,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0,0.0,0.2857142857142857,1.0,0.5188855691542743,0.11516082784801496
0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,-0.75,0.7505430557959408,0.07296946375793868
0.0,0.1,0.1,0.0,0.25,0.0,0.0,0.55,0.8823529411764706,0.5462528936383361,0.14202575234596737
0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.7739760316291208,0.05804820237218407
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.0,-0.0
0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.5,0.125
0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.6000000000000001,0.7323865744747163,0.08024605985756922
0.0,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.22580645161290322,0.03225806451612903,0.12903225806451613,0.22580645161290322,0.7142857142857142,0.8416894270235126,0.05857230013756232
0.058823529411764705,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.7777777777777777,0.9555290352763198,0.022731010787282697
0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.6000000000000001,0.861654166907052,0.059837094924100824
,,,,,,,,,-0.0,-0.0
0.0,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.07142857142857142,1.0,0.7929278311620586,0.07079712778232665
0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.7505430557959408,0.07296946375793868
0.0,0.5,0.0,0.0,0.125,0.25,0.125,0.0,0.19999999999999996,0.5833333333333334,0.12760416666666669
0.0,0.21428571428571427,0.10714285714285714,0.07142857142857142,0.17857142857142858,0.0,0.07142857142857142,0.35714285714285715,1.0,0.7799089748549056,0.07958254845458221
0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.7505430557959408,0.07296946375793868
0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.09090909090909088,0.9654305096819759,0.01723983053003528
0.0,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.38095238095238093,0.4285714285714286,0.8369665218099528,0.07567809536773666
0.0,0.14814814814814814,0.0,0.037037037037037035,0.2222222222222222,0.0,0.1111111111111111,0.48148148148148145,0.9130434782608696,0.6421183174825807,0.12320480062808775
0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.19999999999999996,0.7453087835430109,0.07415061877086078
0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,-0.25,0.7505430557959408,0.07296946375793868
0.0,0.17647058823529413,0.11764705882352941,0.0,0.29411764705882354,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.8181818181818181,0.8159326533397756,0.05893631189781253
0.0,0.25,0.125,0.0,0.25,0.0,0.125,0.25,1.0,0.75,0.0703125
0.0,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,0.0,0.09090909090909091,0.36363636363636365,0.4545454545454546,0.7060260697832366,0.09262945337032133
0.0,0.08333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.25,1.0,0.7295739585136222,0.08106377316818024
0.0,0.18181818181818182,0.0,0.0,0.5454545454545454,0.0,0.09090909090909091,0.18181818181818182,1.0,0.5619385697176768,0.13874309727533546
0.06666666666666667,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.4285714285714286,0.8573168388452389,0.06620391144416012
0.0,0.11538461538461539,0.038461538461538464,0.0,0.3076923076923077,0.038461538461538464,0.15384615384615385,0.34615384615384615,1.0,0.7298361558528731,0.09446843733302723
,,,,,,,,1.0,-0.0,-0.0
0.07692307692307693,0.07692307692307693,0.0,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.0,0.15384615384615385,-0.75,0.7625945733136903,0.08968382925804495
0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,-0.75,0.7505430557959408,0.07296946375793868
0.0625,0.25,0.0,0.0,0.375,0.0,0.1875,0.125,0.6923076923076923,0.7028195311147832,0.09334321897618215
0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2,-0.3333333333333333,0.7739760316291208,0.05804820237218407
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.3333333333333333,0.125
0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.4,1.0,0.6406426982957875,0.09929961823584707
0.0,0.18181818181818182,0.0,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.0,0.2727272727272727,0.8181818181818181,0.7437567515358586,0.07299265640072991
0.0,0.25,0.0,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,-0.4285714285714286,0.7295739585136224,0.08106377316818027
0.2,0.13333333333333333,0.0,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.0,0.2,0.5384615384615385,0.8243018651066855,0.05449551219316421
0.0,0.2,0.0,0.1,0.2,0.1,0.2,0.2,0.4285714285714286,0.8406426982957874,0.04623534840626831
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.3333333333333333,0.125
0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.2727272727272727,0.8551494572736086,0.06008816452736156
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,-0.3333333333333333,0.3333333333333333,0.125
0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,-1.0,0.5283208335737187,0.11006684032785806
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,-0.5,0.3333333333333333,0.125
0.0,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.2222222222222222,0.0,0.7323865744747166,0.08024605985756925
0.0,0.36363636363636365,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.2727272727272727,1.0,0.7060260697832365,0.0926294533703213
0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.2,0.3333333333333333,0.6406426982957875,0.09929961823584707
0.03333333333333333,0.23333333333333334,0.03333333333333333,0.0,0.3333333333333333,0.03333333333333333,0.1,0.23333333333333334,0.23809523809523814,0.7769953389823557,0.08417449505642187
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3333333333333333,-0.0,-0.0
0.0,0.2,0.0,0.26666666666666666,0.0,0.4,0.06666666666666667,0.06666666666666667,-0.6000000000000001,0.6741932539474972,0.10449995436186209
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.4,0.5,0.6406426982957875,0.09929961823584707
0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.125
0.09090909090909091,0.18181818181818182,0.0,0.45454545454545453,0.0,0.2727272727272727,0.0,0.0,-1.0,0.596643025103333,0.11772605144084358
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
,,,,,,,,,-0.0,-0.0
,,,,,,,,,-0.0,-0.0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.4,0.75,0.6406426982957875,0.09929961823584707
0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.3333333333333333,0.7093617596304648,0.09952779790733561
0.2857142857142857,0.0,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.0,0.09090909090909088,0.8045998548685601,0.06362907015542185
0.1,0.2,0.0,0.1,0.2,0.1,0.0,0.3,0.5,0.8154797815570052,0.06116098361677538
,,,,,,,,1.0,-0.0,-0.0
,,,,,,,,1.0,-0.0,-0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,-0.0,-0.0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.5283208335737187,0.11006684032785806
0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,-1.0,0.5283208335737187,0.11006684032785806
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0
